command,source,registered,fe_call_sites,fe_first_site,http_method,endpoint,risk,risk_reason,browser_substitute
get_routine_edit_script,commands.rs:909,yes,1,src/components/layout/ExplorerSidebar.tsx:2277,GET,/api/db/get-routine-edit-script,GREEN,pure request/response,Direct HTTP endpoint
get_routine_parameters,commands.rs:823,yes,2,src/components/modals/RunRoutineModal.tsx:46,GET,/api/db/get-routine-parameters,GREEN,pure request/response,Direct HTTP endpoint
get_routines,commands.rs:798,yes,2,src/contexts/DatabaseProvider.tsx:46,GET,/api/db/get-routines,GREEN,pure request/response,Direct HTTP endpoint
get_saved_queries,saved_queries.rs:66,yes,1,src/contexts/SavedQueriesProvider.tsx:19,GET,/api/queries/get-saved-queries,GREEN,pure request/response,Direct HTTP endpoint
get_schema_preference,config.rs:517,yes,1,src/contexts/DatabaseProvider.tsx:860,GET,/api/connections/get-schema-preference,GREEN,pure request/response,Direct HTTP endpoint
get_schema_snapshot,commands.rs:952,yes,1,src/contexts/EditorProvider.tsx:395,GET,/api/db/get-schema-snapshot,GREEN,pure request/response,Direct HTTP endpoint
get_schemas,commands.rs:726,yes,1,src/contexts/DatabaseProvider.tsx:845,GET,/api/db/get-schemas,GREEN,pure request/response,Direct HTTP endpoint
get_selected_schemas,config.rs:601,yes,1,src/contexts/DatabaseProvider.tsx:850,GET,/api/connections/get-selected-schemas,GREEN,pure request/response,Direct HTTP endpoint
get_server_now,commands.rs:5838,yes,1,src/components/ui/DataGrid.tsx:1569,GET,/api/db/get-server-now,GREEN,pure request/response,Direct HTTP endpoint
get_ssh_connections,commands.rs:1600,yes,1,src/utils/ssh.ts:27,GET,/api/db/get-ssh-connections,YELLOW,SSH/tunnel config CRUD incl. secrets,Normal endpoint; secrets move to server secret store
get_system_prompt,config.rs:795,yes,1,src/components/settings/AiTab.tsx:156,GET,/api/connections/get-system-prompt,GREEN,pure request/response,Direct HTTP endpoint
get_system_stats,task_manager.rs:318,yes,1,src/hooks/useTaskManager.ts:33,GET,/api/tasks/get-system-stats,RED,host OS process/system introspection,"Server-side metrics scoped to session, or drop"
get_tables,commands.rs:3684,yes,10,src/components/modals/ClipboardImportModal.tsx:133,GET,/api/db/get-tables,GREEN,pure request/response,Direct HTTP endpoint
get_tabrename_prompt,config.rs:847,yes,1,src/components/settings/AiTab.tsx:165,GET,/api/connections/get-tabrename-prompt,GREEN,pure request/response,Direct HTTP endpoint
get_tabularis_children,task_manager.rs:325,yes,1,src/pages/TaskManagerPage.tsx:108,GET,/api/tasks/get-tabularis-children,RED,host OS process/system introspection,"Server-side metrics scoped to session, or drop"
get_theme,theme_commands.rs:40,yes,0,,GET,/api/themes/get-theme,GREEN,pure request/response,Direct HTTP endpoint
get_trigger_definition,commands.rs:5033,yes,2,src/utils/databaseObjectActions.ts:279,GET,/api/db/get-trigger-definition,GREEN,pure request/response,Direct HTTP endpoint
get_triggers,commands.rs:5009,yes,8,src/contexts/DatabaseProvider.tsx:333,GET,/api/db/get-triggers,GREEN,pure request/response,Direct HTTP endpoint
get_view_columns,commands.rs:4838,yes,0,,GET,/api/db/get-view-columns,GREEN,pure request/response,Direct HTTP endpoint
get_view_definition,commands.rs:4714,yes,1,src/components/modals/ViewEditorModal.tsx:51,GET,/api/db/get-view-definition,GREEN,pure request/response,Direct HTTP endpoint
